"id","categoryId","categoryName","sku","name","description","price","tags"
"3FE1A99E-DE14-4D11-B635-F5D39258A0B9","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-T924","HL Touring Seat/Saddle","The product called ""HL Touring Seat/Saddle""",52.64,"[{'id':'125497D0-9175-4ECD-844D-DA71E5F4ED43','name':'Tag-42'},{'id':'762CE1E0-5615-418E-B476-BCD46AD5E79E','name':'Tag-137'},{'id':'A9834752-41CA-47F5-8A5A-D9A878DF0ACB','name':'Tag-198'},{'id':'D2427B7F-AF57-498B-A73E-E7D67FD5CFD9','name':'Tag-195'},{'id':'D4EC9C09-75F3-4ADD-A6EB-ACDD12C648FA','name':'Tag-153'}]"
"44873725-7B3B-4B28-804D-963D2D62E761","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79U-60","Touring-1000 Blue, 60","The product called ""Touring-1000 Blue, 60""",2384.07,"[{'id':'033D3826-2851-4B97-9464-59D3675175D4','name':'Tag-108'},{'id':'511652EB-9EC2-4235-BA77-0C6E4E316679','name':'Tag-199'},{'id':'E6CB7972-06F4-47C0-B464-F64E695F89E7','name':'Tag-51'}]"
"47C70E1E-E500-41B3-8615-DCCB963D9E35","AA28AE74-D57C-4B23-B5F7-F919E1C5844E","Clothing, Tights","TG-W091-S","Women's Tights, S","The product called ""Women's Tights, S""",74.99,"[{'id':'488BD0F1-AABE-4FC5-BAF2-0B8A077CA3CF','name':'Tag-147'},{'id':'CAF27567-B4CB-463C-A54E-5EF1F2657DD2','name':'Tag-75'}]"
"4B0848F8-7BF5-4DB9-84A7-C4D69F2E3E8E","34340561-3D26-4F33-B6AD-09260FC811D6","Components, Bottom Brackets","BB-7421","LL Bottom Bracket","The product called ""LL Bottom Bracket""",53.99,"[{'id':'028057B8-8F03-4C18-B853-66510D354A72','name':'Tag-57'},{'id':'40525E23-C1FB-4213-BF28-2B4C64BDC29B','name':'Tag-135'},{'id':'A07D69D4-B8B9-4662-8148-8033DCDCC000','name':'Tag-142'},{'id':'E468DF53-4836-4546-9D05-C855AAC4B0AF','name':'Tag-2'}]"
"4E4B38CB-0D82-43E5-89AF-20270CD28A04","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T44U-60","Touring-2000 Blue, 60","The product called ""Touring-2000 Blue, 60""",1214.85,"[{'id':'89FB612A-F9AA-4196-B5F5-B9FA16D558DC','name':'Tag-175'},{'id':'A30014DE-B012-4049-B456-4630527AF47F','name':'Tag-9'},{'id':'B18FB652-C4B6-4A40-BA22-1E687C1A58CE','name':'Tag-161'},{'id':'C6AB3E24-BA48-40F0-A260-CB04EB03D5B0','name':'Tag-73'}]"
"5089E32E-8A60-4117-AA98-5EF8AB9A61D1","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TT-R982","Road Tire Tube","The product called ""Road Tire Tube""",3.99,"[]"
"52FAD88C-567E-469D-A35E-574EA3BF147F","4F34E180-384D-42FC-AC10-FEC30227577F","Components, Pedals","PD-M340","ML Mountain Pedal","The product called ""ML Mountain Pedal""",62.09,"[]"
"5308BAE7-B0CB-4883-9A93-192CB10DC94F","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T18U-44","Touring-3000 Blue, 44","The product called ""Touring-3000 Blue, 44""",742.35,"[{'id':'A37349FB-4A1C-4382-A845-DF81830A7B4D','name':'Tag-150'}]"
"5996B5E0-6EC7-4CB7-A924-7B5A053AE980","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-M236","LL Mountain Seat/Saddle","The product called ""LL Mountain Seat/Saddle""",27.12,"[{'id':'5D24B427-1402-49DE-B79B-5A7013579FBC','name':'Tag-76'},{'id':'79E61D0F-3C95-4353-BF27-DB04535088C9','name':'Tag-50'},{'id':'BEBD68EF-901A-4282-911F-28AB44B802FE','name':'Tag-139'},{'id':'E468DF53-4836-4546-9D05-C855AAC4B0AF','name':'Tag-2'}]"
"5B5E90B8-FEA2-4D6C-B728-EC586656FA6D","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79Y-60","Touring-1000 Yellow, 60","The product called ""Touring-1000 Yellow, 60""",2384.07,"[{'id':'4F67013C-3B5E-4A3D-B4B0-8C597A491EB6','name':'Tag-82'},{'id':'6C6D061E-F701-41DC-AEA2-7A5C28061840','name':'Tag-98'}]"
"5BFADECD-2240-4480-9485-1256D1D60EA8","32A9A8E6-7004-4B24-9C2A-BB3E93B9E6BD","Clothing, Gloves","GL-F110-S","Full-Finger Gloves, S","The product called ""Full-Finger Gloves, S""",37.99,"[{'id':'84C396AD-98C6-4B12-8C3A-1BDA3ABF7D73','name':'Tag-24'}]"
"6E3AA511-67DF-4EAD-8F0C-4C9F91F7D335","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T18Y-50","Touring-3000 Yellow, 50","The product called ""Touring-3000 Yellow, 50""",742.35,"[{'id':'2E7252D2-B646-47FB-B5BB-836643578038','name':'Tag-130'}]"
"6FB5B2D5-5725-4998-9B6C-2FF2B7A3E3E0","32A9A8E6-7004-4B24-9C2A-BB3E93B9E6BD","Clothing, Gloves","GL-H102-M","Half-Finger Gloves, M","The product called ""Half-Finger Gloves, M""",24.49,"[{'id':'12A06E6F-45BF-42DF-9641-F1376CDDB7B1','name':'Tag-22'},{'id':'8DC9DFB4-1946-427A-A0A0-E06E1448CC63','name':'Tag-171'},{'id':'C1CB0EFE-02BB-4AE5-AA48-3DAC12921450','name':'Tag-109'}]"
"71BDFE67-6499-4A8E-9CCA-9E9AF7D92A7A","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T18U-54","Touring-3000 Blue, 54","The product called ""Touring-3000 Blue, 54""",742.35,"[{'id':'5D24B427-1402-49DE-B79B-5A7013579FBC','name':'Tag-76'},{'id':'66D8EA21-E1F0-471C-A17F-02F3B149D6E6','name':'Tag-83'},{'id':'6FB11EB9-319C-431C-89D7-70113401D186','name':'Tag-154'}]"
"7BAA49C9-21B5-4EEF-9F6B-BCD6DA7C2239","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-R995","HL Road Seat/Saddle","The product called ""HL Road Seat/Saddle""",52.64,"[]"
"7EA0EEEB-824E-42E9-B787-019219CE4466","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79U-54","Touring-1000 Blue, 54","The product called ""Touring-1000 Blue, 54""",2384.07,"[{'id':'23ECB896-D6C6-4E9D-BE43-1908CB5C5E07','name':'Tag-112'},{'id':'A9834752-41CA-47F5-8A5A-D9A878DF0ACB','name':'Tag-198'},{'id':'D5887E7C-B916-4AF4-BAF8-7B996ADA8C83','name':'Tag-52'},{'id':'E1A62ABF-BBC3-48A2-BAC6-E3350D023C83','name':'Tag-194'}]"
"80D3630F-B661-4FD6-A296-CD03BB7A4A0C","629A8F3C-CFB0-4347-8DCC-505A4789876B","Clothing, Vests","VE-C304-L","Classic Vest, L","The product called ""Classic Vest, L""",63.5,"[{'id':'2CE9DADE-DCAC-436C-9D69-B7C886A01B77','name':'Tag-101'},{'id':'CA170AAD-A5F6-42FF-B115-146FADD87298','name':'Tag-186'}]"
"866F8033-A439-42D9-99EE-178C1285F13E","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T18Y-44","Touring-3000 Yellow, 44","The product called ""Touring-3000 Yellow, 44""",742.35,"[{'id':'31BDDC90-386A-4EED-A588-751DA0587A0A','name':'Tag-95'},{'id':'A2AFF2FF-8438-44A3-8AC6-20A50422D82A','name':'Tag-18'},{'id':'AA24EC37-7CE3-4ABE-B935-EC62D5FB6947','name':'Tag-148'},{'id':'DB21A27B-5A3F-400C-A0DF-69A5266E1447','name':'Tag-34'},{'id':'F202FBC3-B5AA-4E0F-950B-2B5715AC0B3B','name':'Tag-173'}]"
"906A453F-2B5E-469A-87B5-FFA531EE615D","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","PK-7098","Patch Kit/8 Patches","The product called ""Patch Kit/8 Patches""",2.29,"[{'id':'DBC21C2A-0AF6-45D4-B2C9-703DD708A821','name':'Tag-14'}]"
"9190229B-1372-4997-8F64-5B3E7A2459C5","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TT-M928","Mountain Tire Tube","The product called ""Mountain Tire Tube""",4.99,"[{'id':'66D8EA21-E1F0-471C-A17F-02F3B149D6E6','name':'Tag-83'},{'id':'6FB11EB9-319C-431C-89D7-70113401D186','name':'Tag-154'},{'id':'8AAFD985-8BCE-4FA8-85A2-2CA67D9DF8E6','name':'Tag-172'},{'id':'A4D9E596-B630-4792-BDD1-7D6459827820','name':'Tag-164'}]"
"94265B3D-7718-47F0-ADF7-64DEE36CAC41","629A8F3C-CFB0-4347-8DCC-505A4789876B","Clothing, Vests","VE-C304-S","Classic Vest, S","The product called ""Classic Vest, S""",63.5,"[]"
"967155B3-9925-4FA3-84B0-B24CDA101C1B","629A8F3C-CFB0-4347-8DCC-505A4789876B","Clothing, Vests","VE-C304-M","Classic Vest, M","The product called ""Classic Vest, M""",63.5,"[{'id':'3798DC56-04BE-4A82-B70B-6A0DC7714A36','name':'Tag-105'},{'id':'403AE98F-892E-4FEC-B262-A264CF1F52A9','name':'Tag-45'},{'id':'A49D83E4-E506-4301-8110-E114599B4A35','name':'Tag-27'}]"
"98324A24-9D56-4662-93A5-9A7370E7EE5A","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-T762","ML Touring Seat/Saddle","The product called ""ML Touring Seat/Saddle""",39.14,"[{'id':'2400025E-FB22-4031-B4A2-9C3BD1402A9B','name':'Tag-38'},{'id':'537DB3C8-8636-4005-8FE2-32EECEBA5B3F','name':'Tag-80'},{'id':'F287FE0A-712B-4B52-925F-5047B34F3610','name':'Tag-197'}]"
"9851FE19-CCA4-4B94-B6AC-CCE579D7F693","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-M823","HL Mountain Tire","The product called ""HL Mountain Tire""",35,"[]"
"987E39AC-6C62-4717-9929-E9BDFF9902ED","34340561-3D26-4F33-B6AD-09260FC811D6","Components, Bottom Brackets","BB-8107","ML Bottom Bracket","The product called ""ML Bottom Bracket""",101.24,"[{'id':'9467BA7B-49FB-4AA5-A868-478D94AF2E54','name':'Tag-92'}]"
"9E6692D7-57E1-4D35-ACD8-105D44A1073B","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T18U-58","Touring-3000 Blue, 58","The product called ""Touring-3000 Blue, 58""",742.35,"[{'id':'18AC309F-F81C-4234-A752-5DDD2BEAEE83','name':'Tag-32'},{'id':'F132E7B8-65B1-471E-8D3E-5E8D7110CA48','name':'Tag-118'}]"
"9FCA9658-8506-4268-8539-DBAA65C51F41","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-T723","Touring Tire","The product called ""Touring Tire""",28.99,"[{'id':'8BAC6191-1DAE-4F5B-88FC-7081B682095D','name':'Tag-15'},{'id':'DBC84212-C3E9-4966-8619-9A4D64EBF517','name':'Tag-125'},{'id':'E1A62ABF-BBC3-48A2-BAC6-E3350D023C83','name':'Tag-194'},{'id':'F59DC0A2-537E-4A8F-A97D-19C82074D3E7','name':'Tag-146'}]"
"A042C88C-B060-4A64-B314-ED92124047E5","4F34E180-384D-42FC-AC10-FEC30227577F","Components, Pedals","PD-R853","HL Road Pedal","The product called ""HL Road Pedal""",80.99,"[{'id':'1B387A00-57D3-4444-8331-18A90725E98B','name':'Tag-43'},{'id':'1CFF105D-294E-4E2D-ADE4-0615CBDEBC28','name':'Tag-44'},{'id':'40525E23-C1FB-4213-BF28-2B4C64BDC29B','name':'Tag-135'},{'id':'59676183-1BD7-48A0-B3B0-42B3C0800EB0','name':'Tag-64'},{'id':'89500F13-B516-4F77-8128-47FC412BEFCD','name':'Tag-151'}]"
"A13C5B23-34DF-41C7-849C-0BA623BEFE02","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79Y-50","Touring-1000 Yellow, 50","The product called ""Touring-1000 Yellow, 50""",2384.07,"[{'id':'52FCE975-91EE-4789-9E36-94EC766F02A0','name':'Tag-35'},{'id':'AEFA79EF-CBF1-4824-AAF7-1D20EA85119B','name':'Tag-17'},{'id':'BE894A90-F425-4BE3-B9DF-56525DD54F62','name':'Tag-62'},{'id':'D5887E7C-B916-4AF4-BAF8-7B996ADA8C83','name':'Tag-52'},{'id':'DBC21C2A-0AF6-45D4-B2C9-703DD708A821','name':'Tag-14'}]"
"A6BB4603-7CD5-43DC-920A-2A2F55D52492","AB952F9F-5ABA-4251-BC2D-AFF8DF412A4A","Components, Headsets","HS-2451","ML Headset","The product called ""ML Headset""",102.29,"[{'id':'A34D34F7-3286-4FA4-B4B0-5E61CCEEE197','name':'Tag-4'},{'id':'BA4D7ABD-2E82-4DC2-ACF2-5D3B0DEAE1C1','name':'Tag-59'},{'id':'D69B1B6C-4963-4E85-8FA5-6A3E1CD1C83B','name':'Tag-187'}]"
"A875BC33-C4AC-4D2B-B018-9FF4672A2BB9","32A9A8E6-7004-4B24-9C2A-BB3E93B9E6BD","Clothing, Gloves","GL-H102-L","Half-Finger Gloves, L","The product called ""Half-Finger Gloves, L""",24.49,"[]"
"A9EFB9E2-8859-4401-B8A6-F7E2D5264FEE","AA28AE74-D57C-4B23-B5F7-F919E1C5844E","Clothing, Tights","TG-W091-M","Women's Tights, M","The product called ""Women's Tights, M""",74.99,"[]"
"ABB81D0E-4744-44EC-8AAB-FB3962FD2AF7","32A9A8E6-7004-4B24-9C2A-BB3E93B9E6BD","Clothing, Gloves","GL-F110-L","Full-Finger Gloves, L","The product called ""Full-Finger Gloves, L""",37.99,"[]"
"ABDE32DD-FADD-4042-9278-0440B7B2F3E0","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-M267","LL Mountain Tire","The product called ""LL Mountain Tire""",24.99,"[{'id':'A34D34F7-3286-4FA4-B4B0-5E61CCEEE197','name':'Tag-4'},{'id':'B49C6195-5ABA-42FA-B15C-84CF9FE252FE','name':'Tag-129'},{'id':'BF28390C-CBBE-48FC-8EBF-1BD7E6608E59','name':'Tag-193'},{'id':'E6CB7972-06F4-47C0-B464-F64E695F89E7','name':'Tag-51'},{'id':'F287FE0A-712B-4B52-925F-5047B34F3610','name':'Tag-197'}]"
"ACC683CB-6199-416E-AE64-7C10D0C72CF9","4F34E180-384D-42FC-AC10-FEC30227577F","Components, Pedals","PD-M562","HL Mountain Pedal","The product called ""HL Mountain Pedal""",80.99,"[{'id':'66D8EA21-E1F0-471C-A17F-02F3B149D6E6','name':'Tag-83'},{'id':'6FB11EB9-319C-431C-89D7-70113401D186','name':'Tag-154'},{'id':'7CACE200-11A3-4E2D-A88E-25E9614D2BE9','name':'Tag-97'},{'id':'B1EBD7E0-BBE0-4AFB-AC6C-50649484780B','name':'Tag-40'}]"
"AFED4FD0-17D1-4CD5-8639-13F15B043EC2","006A1D51-28DA-4956-A7FB-C0B2BF6360CA","Accessories, Bottles and Cages","WB-H098","Water Bottle - 30 oz.","The product called ""Water Bottle - 30 oz.""",4.99,"[{'id':'319E277F-6B7A-483D-81BA-1EC34CC700EB','name':'Tag-163'},{'id':'79E61D0F-3C95-4353-BF27-DB04535088C9','name':'Tag-50'},{'id':'A2176C7A-4E0D-4283-AFAA-319A77E9C122','name':'Tag-19'}]"
"B267655B-A7C1-41E3-9682-21730E93FCB5","AA28AE74-D57C-4B23-B5F7-F919E1C5844E","Clothing, Tights","TG-W091-L","Women's Tights, L","The product called ""Women's Tights, L""",74.99,"[{'id':'9C89E562-1247-435D-B786-4E54024E681C','name':'Tag-128'}]"
"B2AC17CB-A69E-462E-B72A-917CB544FF81","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-R628","ML Road Tire","The product called ""ML Road Tire""",24.99,"[{'id':'0BC579CA-03FC-4AA6-85AA-A55035201E43','name':'Tag-21'},{'id':'4E85E551-E511-4666-BD21-E171C33A7880','name':'Tag-3'},{'id':'7F518FB1-4664-4B20-9B9F-23D5B44F6798','name':'Tag-69'}]"
